# ALL AVAILABLE OUTPUT SETTINGS.
# Last updated: 2017-7-12
# MODULECLASS: MODULE CLASS, e.g., PET.
# OUTPUTID: VARIABLE NAME FOR OUTPUT
# DESCRIPTION: DESCRIPTION of OUTPUT
# UNIT: DEFAULT UNIT
# TYPE: DATA AGGREGATION TYPE, e.g., SUM, AVE, MAX, NONE, etc. Types divided by '-', e.g., "SUM-AVE".
# STARTTIME: DATA DERIVED TIME START, FORMAT MUST BE "YYYY-MM-DD HH:MM:SS", e.g., 2011-01-01 00:00:00 
# ENDTIME: DATA DERIVED TIME END, SEE STARTTIME
# SUBBASIN: SELECTED SUBBASIN ID(s). 'ALL', 'OUTLET' ARE SELECTABLE, OR SUBBASIN ID NUMBERS SPLIT BY '-',0 IS EQUAL TO 'ALL'.
# FILENAME: OUTPUT FILENAME WITH SUFFIX, e.g., txt, asc, tif. FINAL FILENAME WILL BE APPENDED BY TYPE!
# USE：OUTPUT OR NOT. DEFAULT IS 0, i.e., NOT USED. CHANGE TO 1 IF IT IS WANTED!

MODULE_CLASS,OUTPUTID,DESCRIPTION,UNIT,TYPE,STARTTIME,ENDTIME,INTERVAL,INTERVAL_UNIT,SUBBASIN,FILENAME,USE
NutrientTransport,PERCO_P_GW,soluble P percolating past bottom of soil profile,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,PERCO_P_GW.txt,0
NutrientTransport,LATNO3TOCH,nitrate transported with lateral flow to channel,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,LATNO3TOCH.txt,0
NutrientTransport,SUR_NO3_TOCH,nitrate transported with surface runoff to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_NO3_TOCH.txt,0
NutrientTransport,SUR_NH4_TOCH,nitrate transported with surface runoff to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_NH4_TOCH.txt,0
NutrientTransport,SUR_COD_TOCH,COD from surface runoff to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_COD_TOCH.txt,0
NutrientTransport,SUR_SOLP_TOCH,soluble phosphorus from surface runoff to channel,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,SUR_SOLP_TOCH.txt,0
NutrientTransport,GWNO3_CONC,nitrate N concentration in groundwater,mg/L,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,GWNO3_CONC.txt,0
NutrientTransport,GWSOLP_CONC,soluble P concentration in groundwater,mg/L,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,GWSOLP_CONC.txt,0
NutrientTransport,NO3GWTOCH,nitrate loading to reach in groundwater,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,NO3GWTOCH.txt,0
NutrientTransport,MINPGWTOCH,soluble P loading to reach in groundwater,kg,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,MINPGWTOCH.txt,0
